REGION,TYPE OF OFFENCE,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4
Region Hovedstaden,"Nature of the offence, total",44860,49581,47008,48586,45973,48500,51172,52903,47281,48900,55525,54568
Region Hovedstaden,"Penal Code, total",38580,42771,40359,41869,39508,41370,44073,46166,40912,42595,49337,48618
Region Hovedstaden,"Penal code, unspecified",0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,"Sexual offenses, total",156,192,151,146,121,191,193,143,120,158,176,127
Region Hovedstaden,"Incest, etc.",3,2,5,2,3,2,3,1,7,4,3,1
Region Hovedstaden,"Rape, etc.",32,43,38,37,30,40,49,28,24,33,32,32
Region Hovedstaden,Heterosexual offence against a child under 12 (Repealed in 2013),10,15,6,5,1,5,3,3,6,3,8,5
Region Hovedstaden,Sexual offence against a child under 12 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Any other kind of heterosexual offence (Repealed in 2013),7,6,10,12,8,15,9,5,13,10,23,9
Region Hovedstaden,Sexual offence against a child under 15 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Any other kind of sexual offence (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Homosexual offence against a child under 12 (Repealed in 2013),0,1,0,0,0,1,1,0,0,0,0,0
Region Hovedstaden,Any other kind of homosexual offence (Repealed in 2013),2,1,0,1,0,0,0,0,1,0,1,0
Region Hovedstaden,Offence against public decency by groping,31,26,26,33,21,37,39,32,22,34,39,25
Region Hovedstaden,Offence against public decency by indecent exposure,27,45,34,21,15,30,36,35,16,23,25,15
Region Hovedstaden,Any other kind of offence against public decency,28,29,23,23,31,30,40,19,17,27,28,29
Region Hovedstaden,"Prostitution, etc.",16,24,9,12,12,31,13,20,14,24,17,11
Region Hovedstaden,"Crimes of violence, total",1604,1592,1505,1580,1422,1479,1340,1386,1337,1468,1399,1294
Region Hovedstaden,Violence against public authority,317,350,276,276,286,256,234,233,210,258,224,213
Region Hovedstaden,Unlawful assembly/disturbance of public order,139,25,13,21,0,6,2,2,5,2,11,17
Region Hovedstaden,Homicide,1,4,1,4,8,1,5,2,9,5,5,2
Region Hovedstaden,Attempted homicide,14,13,22,23,29,21,28,32,23,30,21,25
Region Hovedstaden,Coercive control,0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Common assault,694,762,706,796,676,754,688,696,659,702,649,642
Region Hovedstaden,Assault causing actual bodily harm,134,144,179,166,131,128,110,123,112,147,137,107
Region Hovedstaden,Particularly aggravated assault,2,1,0,1,1,0,4,2,2,1,1,1
Region Hovedstaden,Unprovoked assault,0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Any other kind of intentional trespass to the person,0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Intentional bodily harm,0,0,0,0,0,0,0,0,0,0,0,0
Region Hovedstaden,Causing death or bodily harm by negligence,2,2,0,0,3,3,3,3,2,1,8,0
Region Hovedstaden,Offences against life and limb,33,36,24,21,22,28,23,44,34,38,56,46
Region Hovedstaden,Offences against personal liberty,29,16,27,13,21,23,12,20,21,33,31,29
Region Hovedstaden,Threats,239,239,257,259,245,259,231,229,260,251,256,212
Region Hovedstaden,"Offences against property, total",36221,40203,38065,39614,37330,39061,41891,43999,38807,40436,47180,46668
Region Hovedstaden,Forgery,160,194,206,290,206,136,164,217,225,145,163,138
Region Hovedstaden,Cheque forgery,11,41,10,17,25,35,13,24,38,48,38,33
Region Hovedstaden,Arson,194,177,141,147,408,133,125,127,143,78,82,113
Region Hovedstaden,Burglary - business and community,2373,2096,2037,2373,2388,1958,2375,2814,2816,2592,3031,3197
Region Hovedstaden,Residential burglaries,3512,2251,2063,3142,3355,2227,2291,4245,3749,2928,3474,5959
Region Hovedstaden,Burglary (uninhabited buildings),877,667,659,780,1103,740,725,1255,1277,1016,893,1448
Region Hovedstaden,Theft from conveyances,3742,4363,4676,3386,2857,3044,3468,3621,3235,3571,3983,3560
Region Hovedstaden,"Shoplifting, etc.",1836,1708,1549,1996,2069,1962,2031,2196,2359,1830,1824,2270
Region Hovedstaden,Other kinds of theft,10324,12496,11553,12497,11328,12972,13982,13780,11235,11482,13961,14147
Region Hovedstaden,Theft of/taking vehicle without the owners consent (TWOC),1465,1572,1403,1293,1513,1462,1470,1672,1527,1516,1690,1533
Region Hovedstaden,Theft of/taking moped without the owners consent (TWOC),477,541,518,487,369,427,479,364,241,367,405,299
Region Hovedstaden,Theft of/taking bicycle without the owners consent (TWOC),6326,8869,8830,7731,6291,9097,10069,8680,7210,9863,12655,9166
Region Hovedstaden,Theft of/taking other objects without the owners consent (TWOC),330,503,508,423,493,585,649,533,411,623,773,599
Region Hovedstaden,Theft by finding,53,53,65,51,55,53,76,59,46,70,87,54
Region Hovedstaden,Embezzlement,38,46,17,28,20,30,24,30,25,12,20,25
Region Hovedstaden,Fraud,496,481,467,1120,617,531,456,577,478,425,536,480
Region Hovedstaden,Fraud by cheque,7,14,6,4,13,12,8,23,18,27,20,23
Region Hovedstaden,Fraud by abuse of position,12,6,4,7,4,3,14,5,5,1,5,6
Region Hovedstaden,Blackmail and usury,11,15,15,26,16,8,14,26,23,20,27,13
Region Hovedstaden,Fraud against creditors,4,6,4,3,5,6,8,4,6,7,6,6
Region Hovedstaden,Handling stolen goods,100,77,70,79,82,72,78,80,142,84,104,83
Region Hovedstaden,Robbery,379,430,271,379,351,379,369,485,548,540,496,605
Region Hovedstaden,Aggravated tax evasion etc.,10,15,13,47,38,41,40,40,38,45,12,16
Region Hovedstaden,Malicious damage to property,3465,3554,2963,3275,3702,3126,2936,3129,2995,3130,2886,2876
Region Hovedstaden,Receiving stolen goods by negligence,1,2,1,0,0,2,1,1,3,1,1,1
Region Hovedstaden,Offence against and infringement of property,18,26,16,33,22,20,26,12,14,15,8,18
Region Hovedstaden,"Other offences, total",599,784,638,529,635,639,649,638,648,533,582,529
Region Hovedstaden,"Offences against public authority, etc.",190,238,170,170,174,210,172,182,167,148,156,149
Region Hovedstaden,Offences by public servants,1,5,2,2,4,42,3,3,5,1,3,3
Region Hovedstaden,Perjury,11,3,6,8,10,4,3,2,6,5,3,3
Region Hovedstaden,Any other kind of false statement,115,121,103,85,121,113,110,119,115,98,117,101
Region Hovedstaden,Offences concerning money and evidence,79,182,114,76,104,106,142,107,83,46,60,73
Region Hovedstaden,"Trafficking of drugs, etc.",80,80,67,66,67,56,71,60,113,48,60,43
Region Hovedstaden,Smuggling etc. of drugs,15,12,20,12,22,13,11,7,8,29,5,5
Region Hovedstaden,General public offences etc.,3,6,3,5,4,2,26,40,36,34,45,51
Region Hovedstaden,"Illegal trade, etc.",14,18,8,3,1,1,6,8,5,4,6,3
Region Hovedstaden,Family relation offences,6,3,5,7,8,5,5,5,2,0,3,1
Region Hovedstaden,Involuntary manslaughter etc. in connection with traffic accident,11,7,9,7,10,9,18,9,10,7,10,7
Region Hovedstaden,Non-molestation order (Repealed in 2012),23,56,56,26,70,28,25,28,31,55,62,29
Region Hovedstaden,Invasion of privacy and defamation,51,53,75,62,40,50,57,68,67,58,52,61
Region Hovedstaden,"Special acts, total",6280,6810,6649,6717,6465,7130,7099,6737,6369,6305,6188,5950
Region Hovedstaden,Euphoriants Act,1922,2117,2115,1973,2124,2313,2389,1984,2113,2049,1702,1750
Region Hovedstaden,The Offensive Weapons Act,681,661,705,730,761,643,863,702,764,602,547,512
Region Hovedstaden,"Tax legislation and fiscal acts, etc.",90,97,112,85,83,125,138,181,180,136,145,128
Region Hovedstaden,Other special acts in criminal law,1801,2046,2155,1930,1722,2167,1842,1915,1714,2067,2043,1940
Region Hovedstaden,Health and social security legislation,135,172,107,108,119,227,364,153,120,156,221,190
Region Hovedstaden,Building and housing legislation,19,15,15,19,15,16,16,18,12,9,14,13
Region Hovedstaden,The environmental protection act,257,332,254,244,233,248,238,467,254,268,285,276
Region Hovedstaden,"Legislation on animals, hunting, etc.",184,214,241,203,232,259,285,193,201,282,336,209
Region Hovedstaden,"Legislation on employment, transport, etc.",541,433,435,680,560,557,477,487,419,310,566,494
Region Hovedstaden,The Companies Act,23,26,21,20,25,21,31,28,12,30,23,11
Region Hovedstaden,Legislation on the national defence,117,141,37,109,67,91,18,137,85,63,43,120
Region Hovedstaden,Legislation applying to public utilities,18,15,11,10,14,38,29,27,62,39,17,21
Region Hovedstaden,"Legislation on gambling, licencing, trade",480,520,412,595,506,399,383,439,425,284,228,283
Region Hovedstaden,Any other special legislation,12,21,29,11,4,26,26,6,8,10,18,3
Region Hovedstaden,"Special legislation, unspecified",0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,"Nature of the offence, total",21462,24280,23553,23782,21623,23201,25348,24929,22285,23028,26383,25274
Copenhagen,"Penal Code, total",17689,20305,19389,19506,17475,19067,21113,20942,18468,19210,23007,21737
Copenhagen,"Penal code, unspecified",0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,"Sexual offenses, total",53,60,44,36,41,59,52,55,38,48,45,28
Copenhagen,"Incest, etc.",2,2,1,0,1,1,0,0,2,1,0,0
Copenhagen,"Rape, etc.",10,16,12,6,12,10,15,17,9,15,7,12
Copenhagen,Heterosexual offence against a child under 12 (Repealed in 2013),6,1,1,0,0,2,1,0,1,1,3,0
Copenhagen,Sexual offence against a child under 12 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,Any other kind of heterosexual offence (Repealed in 2013),2,4,4,7,1,5,4,1,5,1,8,0
Copenhagen,Sexual offence against a child under 15 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,Any other kind of sexual offence (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,Homosexual offence against a child under 12 (Repealed in 2013),0,0,0,0,0,0,1,0,0,0,0,0
Copenhagen,Any other kind of homosexual offence (Repealed in 2013),0,0,0,1,0,0,0,0,0,0,1,0
Copenhagen,Offence against public decency by groping,9,6,6,7,9,17,12,17,8,10,8,6
Copenhagen,Offence against public decency by indecent exposure,11,21,12,7,4,7,10,10,4,10,7,5
Copenhagen,Any other kind of offence against public decency,5,3,6,5,8,1,7,4,2,3,5,3
Copenhagen,"Prostitution, etc.",8,7,2,3,6,16,2,6,7,7,6,2
Copenhagen,"Crimes of violence, total",785,665,607,625,549,545,554,496,554,584,588,521
Copenhagen,Violence against public authority,185,207,151,155,157,141,117,123,116,137,108,110
Copenhagen,Unlawful assembly/disturbance of public order,139,22,8,17,0,6,2,1,2,0,10,15
Copenhagen,Homicide,1,2,1,2,4,0,2,0,9,1,3,0
Copenhagen,Attempted homicide,6,8,10,14,17,11,17,18,12,15,11,13
Copenhagen,Coercive control,0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,Common assault,286,280,269,300,243,259,276,223,265,281,282,249
Copenhagen,Assault causing actual bodily harm,60,56,84,61,59,62,46,57,42,58,65,46
Copenhagen,Particularly aggravated assault,1,0,0,0,1,0,2,1,1,1,0,1
Copenhagen,Unprovoked assault,0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,Any other kind of intentional trespass to the person,0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,Intentional bodily harm,0,0,0,0,0,0,0,0,0,0,0,0
Copenhagen,Causing death or bodily harm by negligence,1,0,0,0,0,1,2,1,1,0,1,0
Copenhagen,Offences against life and limb,16,11,5,9,7,11,9,16,19,11,9,15
Copenhagen,Offences against personal liberty,11,5,7,3,5,4,5,7,10,8,13,7
Copenhagen,Threats,79,74,72,64,56,50,76,49,77,72,86,65
Copenhagen,"Offences against property, total",16530,19134,18420,18563,16536,18155,20177,20111,17563,18322,22092,20961
Copenhagen,Forgery,82,83,119,144,104,75,76,97,108,82,78,78
Copenhagen,Cheque forgery,3,11,6,6,12,14,6,15,25,25,20,17
Copenhagen,Arson,123,106,69,86,198,56,42,67,76,33,33,48
Copenhagen,Burglary - business and community,850,658,681,845,672,546,709,886,789,700,831,959
Copenhagen,Residential burglaries,1131,726,612,933,938,673,657,1279,998,823,1039,1591
Copenhagen,Burglary (uninhabited buildings),277,191,220,246,266,189,183,315,329,221,183,331
Copenhagen,Theft from conveyances,1353,1680,2023,1223,1035,1076,1162,1277,1257,1388,1642,1424
Copenhagen,"Shoplifting, etc.",889,835,780,871,938,891,986,1034,1109,794,828,1102
Copenhagen,Other kinds of theft,5656,7121,6544,7139,6252,7179,8177,7814,6279,6156,7829,7884
Copenhagen,Theft of/taking vehicle without the owners consent (TWOC),602,656,574,518,611,605,587,580,575,605,553,544
Copenhagen,Theft of/taking moped without the owners consent (TWOC),163,181,142,158,115,122,162,127,86,122,120,85
Copenhagen,Theft of/taking bicycle without the owners consent (TWOC),3613,4942,5000,4222,3502,5108,5716,4845,4072,5464,7233,5072
Copenhagen,Theft of/taking other objects without the owners consent (TWOC),98,137,121,129,140,157,196,173,138,189,186,131
Copenhagen,Theft by finding,26,24,36,29,26,24,40,26,29,43,35,31
Copenhagen,Embezzlement,16,13,4,11,8,13,9,9,5,4,5,9
Copenhagen,Fraud,183,189,232,668,280,217,177,307,207,174,234,192
Copenhagen,Fraud by cheque,6,7,1,1,2,4,3,17,7,11,4,12
Copenhagen,Fraud by abuse of position,3,2,0,2,1,1,2,2,3,0,2,2
Copenhagen,Blackmail and usury,2,4,2,11,6,2,1,18,3,8,9,6
Copenhagen,Fraud against creditors,1,0,1,0,2,2,3,2,2,1,1,1
Copenhagen,Handling stolen goods,48,32,39,43,44,43,40,44,78,48,48,49
Copenhagen,Robbery,197,277,144,210,189,202,190,257,314,320,281,339
Copenhagen,Aggravated tax evasion etc.,5,2,5,3,13,18,15,11,12,16,0,4
Copenhagen,Malicious damage to property,1194,1245,1058,1044,1169,928,1025,903,1057,1085,896,1040
Copenhagen,Receiving stolen goods by negligence,0,0,1,0,0,2,1,1,0,1,0,1
Copenhagen,Offence against and infringement of property,9,12,6,21,13,8,12,5,5,9,2,9
Copenhagen,"Other offences, total",321,446,318,282,349,308,330,280,313,256,282,227
Copenhagen,"Offences against public authority, etc.",108,144,87,95,82,89,73,63,84,75,76,73
Copenhagen,Offences by public servants,1,2,1,1,0,41,3,2,1,1,2,1
Copenhagen,Perjury,3,1,3,5,6,0,2,0,3,3,1,1
Copenhagen,Any other kind of false statement,58,65,57,54,75,59,66,68,58,54,63,44
Copenhagen,Offences concerning money and evidence,45,105,66,36,63,58,91,48,37,22,21,29
Copenhagen,"Trafficking of drugs, etc.",49,53,46,41,42,25,38,28,74,24,23,16
Copenhagen,Smuggling etc. of drugs,8,7,9,1,12,5,1,0,3,3,2,2
Copenhagen,General public offences etc.,0,5,1,3,3,1,21,31,26,21,20,23
Copenhagen,"Illegal trade, etc.",14,18,8,3,1,1,6,8,5,4,4,3
Copenhagen,Family relation offences,2,0,1,4,3,1,3,1,0,0,2,0
Copenhagen,Involuntary manslaughter etc. in connection with traffic accident,3,1,2,1,7,5,1,1,2,0,0,1
Copenhagen,Non-molestation order (Repealed in 2012),8,19,12,13,41,8,7,7,6,29,46,8
Copenhagen,Invasion of privacy and defamation,22,26,25,25,14,15,18,23,14,20,22,26
Copenhagen,"Special acts, total",3773,3975,4164,4276,4148,4134,4235,3987,3817,3818,3376,3537
Copenhagen,Euphoriants Act,1307,1456,1462,1464,1574,1625,1646,1356,1531,1432,1079,1189
Copenhagen,The Offensive Weapons Act,378,372,405,430,439,314,515,373,434,319,275,260
Copenhagen,"Tax legislation and fiscal acts, etc.",56,46,60,31,36,50,83,95,92,82,87,61
Copenhagen,Other special acts in criminal law,1137,1240,1522,1276,1159,1315,1135,1206,1018,1300,1270,1224
Copenhagen,Health and social security legislation,53,46,32,35,40,95,178,54,47,55,66,81
Copenhagen,Building and housing legislation,6,6,1,9,4,4,7,10,5,0,3,1
Copenhagen,The environmental protection act,155,149,90,93,138,53,69,242,103,119,126,110
Copenhagen,"Legislation on animals, hunting, etc.",17,23,31,35,57,33,34,25,29,48,38,34
Copenhagen,"Legislation on employment, transport, etc.",320,219,211,478,314,301,244,294,224,176,264,319
Copenhagen,The Companies Act,12,11,13,11,15,11,14,6,3,7,5,3
Copenhagen,Legislation on the national defence,19,40,17,46,27,33,1,53,26,33,10,59
Copenhagen,Legislation applying to public utilities,7,7,5,2,2,18,14,9,26,17,5,6
Copenhagen,"Legislation on gambling, licencing, trade",299,347,296,365,343,265,274,263,276,221,133,190
Copenhagen,Any other special legislation,7,13,19,1,0,17,21,1,3,9,15,0
Copenhagen,"Special legislation, unspecified",0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,"Nature of the offence, total",1907,2085,1996,2161,1801,1865,2060,2245,1845,1929,2143,2322
Frederiksberg,"Penal Code, total",1795,1934,1847,2053,1669,1739,1930,2116,1729,1800,2041,2225
Frederiksberg,"Penal code, unspecified",0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,"Sexual offenses, total",3,9,5,5,3,2,7,1,1,5,4,5
Frederiksberg,"Incest, etc.",0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,"Rape, etc.",2,1,2,0,0,1,0,0,0,1,0,3
Frederiksberg,Heterosexual offence against a child under 12 (Repealed in 2013),0,2,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Sexual offence against a child under 12 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Any other kind of heterosexual offence (Repealed in 2013),0,0,1,1,1,0,0,0,0,0,0,0
Frederiksberg,Sexual offence against a child under 15 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Any other kind of sexual offence (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Homosexual offence against a child under 12 (Repealed in 2013),0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Any other kind of homosexual offence (Repealed in 2013),0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Offence against public decency by groping,1,1,1,1,1,1,3,0,0,1,3,1
Frederiksberg,Offence against public decency by indecent exposure,0,3,0,1,0,0,1,0,0,1,0,0
Frederiksberg,Any other kind of offence against public decency,0,2,1,2,1,0,3,1,0,0,1,0
Frederiksberg,"Prostitution, etc.",0,0,0,0,0,0,0,0,1,2,0,1
Frederiksberg,"Crimes of violence, total",31,36,33,54,32,44,39,46,44,42,29,56
Frederiksberg,Violence against public authority,4,11,5,7,7,6,6,9,6,9,7,11
Frederiksberg,Unlawful assembly/disturbance of public order,0,0,0,4,0,0,0,0,0,0,0,2
Frederiksberg,Homicide,0,1,0,0,0,0,0,0,0,0,1,0
Frederiksberg,Attempted homicide,1,0,1,0,0,1,1,1,1,0,1,3
Frederiksberg,Coercive control,0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Common assault,18,15,13,26,15,27,22,26,20,21,13,29
Frederiksberg,Assault causing actual bodily harm,4,4,4,10,1,1,4,4,4,3,4,4
Frederiksberg,Particularly aggravated assault,0,0,0,0,0,0,0,0,1,0,0,0
Frederiksberg,Unprovoked assault,0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Any other kind of intentional trespass to the person,0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Intentional bodily harm,0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Causing death or bodily harm by negligence,0,0,0,0,1,0,0,0,0,0,0,0
Frederiksberg,Offences against life and limb,1,4,0,0,1,1,1,0,0,1,1,1
Frederiksberg,Offences against personal liberty,1,0,1,0,0,0,0,1,1,0,0,1
Frederiksberg,Threats,2,1,9,7,7,8,5,5,11,8,2,5
Frederiksberg,"Offences against property, total",1750,1864,1788,1974,1610,1676,1874,2058,1674,1746,1994,2150
Frederiksberg,Forgery,10,7,4,16,5,2,5,10,9,4,9,4
Frederiksberg,Cheque forgery,2,1,1,0,0,0,1,0,4,5,4,6
Frederiksberg,Arson,10,7,3,5,10,5,1,8,2,1,2,6
Frederiksberg,Burglary - business and community,111,56,82,123,109,75,103,123,108,94,142,122
Frederiksberg,Residential burglaries,201,130,107,164,120,94,92,198,140,101,125,214
Frederiksberg,Burglary (uninhabited buildings),18,17,20,10,33,39,11,20,16,25,23,37
Frederiksberg,Theft from conveyances,173,200,304,209,128,103,106,162,160,113,155,200
Frederiksberg,"Shoplifting, etc.",94,94,80,111,124,95,121,161,153,120,92,95
Frederiksberg,Other kinds of theft,424,502,462,539,478,547,519,531,477,454,522,630
Frederiksberg,Theft of/taking vehicle without the owners consent (TWOC),83,68,38,50,69,60,73,55,41,55,66,54
Frederiksberg,Theft of/taking moped without the owners consent (TWOC),9,9,7,8,8,8,7,9,6,6,5,4
Frederiksberg,Theft of/taking bicycle without the owners consent (TWOC),424,547,523,488,351,504,689,464,348,601,708,595
Frederiksberg,Theft of/taking other objects without the owners consent (TWOC),9,10,9,5,4,10,11,10,9,16,14,9
Frederiksberg,Theft by finding,0,0,1,0,1,0,1,0,2,2,2,4
Frederiksberg,Embezzlement,2,0,0,0,1,0,1,0,1,0,0,3
Frederiksberg,Fraud,16,12,14,104,36,31,17,17,13,20,23,21
Frederiksberg,Fraud by cheque,0,1,0,0,1,0,0,1,1,0,1,3
Frederiksberg,Fraud by abuse of position,0,1,0,0,0,0,0,1,0,1,0,1
Frederiksberg,Blackmail and usury,1,0,2,1,0,1,2,0,1,0,0,0
Frederiksberg,Fraud against creditors,0,2,0,0,0,0,0,1,0,0,1,0
Frederiksberg,Handling stolen goods,3,1,4,2,3,2,0,2,1,2,2,0
Frederiksberg,Robbery,25,33,11,23,9,16,17,19,38,38,27,31
Frederiksberg,Aggravated tax evasion etc.,0,0,1,0,0,2,5,4,3,3,0,0
Frederiksberg,Malicious damage to property,135,165,115,116,119,81,92,262,141,85,71,110
Frederiksberg,Receiving stolen goods by negligence,0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Offence against and infringement of property,0,1,0,0,1,1,0,0,0,0,0,1
Frederiksberg,"Other offences, total",11,25,21,20,24,17,10,11,10,7,14,14
Frederiksberg,"Offences against public authority, etc.",6,6,2,9,7,8,0,2,0,1,1,5
Frederiksberg,Offences by public servants,0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Perjury,0,0,1,0,0,0,0,0,0,0,0,2
Frederiksberg,Any other kind of false statement,2,3,6,1,6,1,0,3,3,2,3,4
Frederiksberg,Offences concerning money and evidence,1,4,3,3,1,5,3,1,2,1,2,2
Frederiksberg,"Trafficking of drugs, etc.",1,4,1,1,2,1,1,0,1,0,3,0
Frederiksberg,Smuggling etc. of drugs,0,0,0,0,0,2,0,1,0,1,0,0
Frederiksberg,General public offences etc.,0,0,0,0,0,0,1,0,0,2,3,1
Frederiksberg,"Illegal trade, etc.",0,0,0,0,0,0,0,0,0,0,0,0
Frederiksberg,Family relation offences,0,1,0,0,0,0,1,0,0,0,0,0
Frederiksberg,Involuntary manslaughter etc. in connection with traffic accident,0,1,0,0,0,0,1,2,1,0,1,0
Frederiksberg,Non-molestation order (Repealed in 2012),1,4,2,1,6,0,0,1,0,0,0,0
Frederiksberg,Invasion of privacy and defamation,0,2,6,5,2,0,3,1,3,0,1,0
Frederiksberg,"Special acts, total",112,151,149,108,132,126,130,129,116,129,102,97
Frederiksberg,Euphoriants Act,35,36,69,24,41,23,30,31,28,37,20,17
Frederiksberg,The Offensive Weapons Act,21,13,31,17,20,13,21,21,20,25,10,18
Frederiksberg,"Tax legislation and fiscal acts, etc.",3,4,3,2,2,8,4,16,6,4,4,6
Frederiksberg,Other special acts in criminal law,24,59,32,38,50,42,32,19,25,43,38,31
Frederiksberg,Health and social security legislation,6,2,7,2,3,17,25,4,2,7,7,2
Frederiksberg,Building and housing legislation,3,1,1,0,1,1,0,0,0,0,0,2
Frederiksberg,The environmental protection act,1,4,2,1,0,0,0,13,8,3,2,1
Frederiksberg,"Legislation on animals, hunting, etc.",1,6,0,3,1,0,0,2,5,0,3,2
Frederiksberg,"Legislation on employment, transport, etc.",7,7,1,14,6,8,12,6,11,4,12,10
Frederiksberg,The Companies Act,0,4,0,1,0,1,2,0,0,1,1,0
Frederiksberg,Legislation on the national defence,3,6,0,3,7,9,1,10,6,3,3,5
Frederiksberg,Legislation applying to public utilities,1,0,0,0,0,0,0,0,2,0,0,0
Frederiksberg,"Legislation on gambling, licencing, trade",4,8,3,3,1,3,3,7,2,2,2,3
Frederiksberg,Any other special legislation,3,1,0,0,0,1,0,0,1,0,0,0
Frederiksberg,"Special legislation, unspecified",0,0,0,0,0,0,0,0,0,0,0,0
Dragør,"Nature of the offence, total",184,183,127,177,152,175,167,194,124,182,168,193
Dragør,"Penal Code, total",167,161,116,163,131,166,153,183,111,160,151,183
Dragør,"Penal code, unspecified",0,0,0,0,0,0,0,0,0,0,0,0
Dragør,"Sexual offenses, total",0,1,0,0,0,0,0,1,1,4,0,0
Dragør,"Incest, etc.",0,0,0,0,0,0,0,0,0,0,0,0
Dragør,"Rape, etc.",0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Heterosexual offence against a child under 12 (Repealed in 2013),0,1,0,0,0,0,0,0,0,0,0,0
Dragør,Sexual offence against a child under 12 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Any other kind of heterosexual offence (Repealed in 2013),0,0,0,0,0,0,0,1,1,1,0,0
Dragør,Sexual offence against a child under 15 (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Any other kind of sexual offence (New from 2013),0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Homosexual offence against a child under 12 (Repealed in 2013),0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Any other kind of homosexual offence (Repealed in 2013),0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Offence against public decency by groping,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Offence against public decency by indecent exposure,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Any other kind of offence against public decency,0,0,0,0,0,0,0,0,0,1,0,0
Dragør,"Prostitution, etc.",0,0,0,0,0,0,0,0,0,2,0,0
Dragør,"Crimes of violence, total",2,6,2,5,4,2,0,4,4,4,3,3
Dragør,Violence against public authority,0,0,0,0,1,0,0,0,1,0,0,1
Dragør,Unlawful assembly/disturbance of public order,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Homicide,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Attempted homicide,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Coercive control,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Common assault,1,4,1,3,3,1,0,3,1,3,3,1
Dragør,Assault causing actual bodily harm,0,1,0,0,0,0,0,0,0,1,0,0
Dragør,Particularly aggravated assault,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Unprovoked assault,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Any other kind of intentional trespass to the person,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Intentional bodily harm,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Causing death or bodily harm by negligence,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Offences against life and limb,0,1,0,0,0,0,0,0,0,0,0,0
Dragør,Offences against personal liberty,0,0,0,0,0,0,0,0,1,0,0,0
Dragør,Threats,1,0,1,2,0,1,0,1,1,0,0,1
Dragør,"Offences against property, total",164,152,111,156,125,164,152,178,105,152,145,179
Dragør,Forgery,0,0,0,7,0,0,0,0,0,0,0,0
Dragør,Cheque forgery,0,0,0,0,0,0,0,0,0,0,0,0
Dragør,Arson,2,1,1,1,1,0,0,2,0,0,1,1
Dragør,Burglary - business and community,7,6,8,9,13,10,11,14,10,8,8,15
Dragør,Residential burglaries,27,20,2,18,25,18,12,34,17,10,25,47
Dragør,Burglary (uninhabited buildings),4,4,3,5,5,2,2,30,7,5,4,14
